Location,Year,Area Planted (acres),Harvested (tonnes)
Eastern Cape,1998-1999,0.0,0
Eastern Cape,1999-2000,214.98168187643788,130
Eastern Cape,2000-2001,247.10538146717,200
Eastern Cape,2001-2002,370.658072200755,323
Eastern Cape,2002-2003,123.552690733585,150
Eastern Cape,2003-2004,222.394843320453,120
Eastern Cape,2004-2005,988.42152586868,800
Eastern Cape,2005-2006,1235.52690733585,750
Eastern Cape,2006-2007,1235.52690733585,1000
Eastern Cape,2007-2008,1235.52690733585,750
Eastern Cape,2008-2009,1976.84305173736,1600
Eastern Cape,2009-2010,1976.84305173736,1200
Eastern Cape,2010-2011,2471.0538146717,1500
Eastern Cape,2011-2012,1235.52690733585,750
Eastern Cape,2012-2013,1235.52690733585,750
Eastern Cape,2013-2014,4942.1076293434,3600
Eastern Cape,2014-2015,3706.58072200755,2100
Eastern Cape,2015-2016,3706.58072200755,2100
Eastern Cape,2016-2017,4571.449557142645,2775
Eastern Cape,2017-2018,5930.52915521208,2900
Eastern Cape,2018-2019,2841.7118868724547,1380
Free State,1998-1999,19768.4305173736,10000
Free State,1999-2000,17297.3767027019,11200
Free State,2000-2001,49421.076293433995,24000
Free State,2001-2002,42007.9148494189,20400
Free State,2002-2003,37560.017983009835,17500
Free State,2003-2004,53127.657015441546,29000
Free State,2004-2005,50656.603200769845,30000
Free State,2005-2006,111197.4216602265,77000
Free State,2006-2007,111197.4216602265,33750
Free State,2007-2008,118610.5831042416,64500
Free State,2008-2009,135907.9598069435,99000
Free State,2009-2010,234750.1123938115,151950
Free State,2010-2011,333592.2649806795,190000
Free State,2011-2012,432434.41756754747,192500
Free State,2012-2013,531276.5701544154,249500
Free State,2013-2014,496681.8167490117,352000
Free State,2014-2015,753671.4134748684,366000
Free State,2015-2016,429963.36375287577,148000
Free State,2016-2017,593052.915521208,504000
Free State,2017-2018,852513.5660617364,552000
Free State,2018-2019,743787.1982161816,391300
Gauteng,1998-1999,12355.269073358499,6000
Gauteng,1999-2000,6671.845299613589,4050
Gauteng,2000-2001,8648.68835135095,4550
Gauteng,2001-2002,13590.795980694349,9075
Gauteng,2002-2003,9884.2152586868,5850
Gauteng,2003-2004,12355.269073358499,7800
Gauteng,2004-2005,12355.269073358499,9200
Gauteng,2005-2006,16061.849795366048,10730
Gauteng,2006-2007,12355.269073358499,4150
Gauteng,2007-2008,8401.582969883779,5500
Gauteng,2008-2009,16556.06055830039,12525
Gauteng,2009-2010,29652.6457760604,20400
Gauteng,2010-2011,34594.7534054038,21700
Gauteng,2011-2012,46950.022478762294,28500
Gauteng,2012-2013,49421.076293433995,34000
Gauteng,2013-2014,49421.076293433995,47360
Gauteng,2014-2015,74131.614440151,69000
Gauteng,2015-2016,56834.2377374491,50600
Gauteng,2016-2017,62764.76689266117,71120
Gauteng,2017-2018,74131.614440151,61500
Gauteng,2018-2019,77838.19516215855,66150
KwaZulu-Natal,1998-1999,74131.614440151,55500
KwaZulu-Natal,1999-2000,49421.076293433995,38000
KwaZulu-Natal,2000-2001,63753.188418529855,54180
KwaZulu-Natal,2001-2002,44478.9686640906,37800
KwaZulu-Natal,2002-2003,33482.779188801534,22000
KwaZulu-Natal,2003-2004,46950.022478762294,36100
KwaZulu-Natal,2004-2005,42007.9148494189,39270
KwaZulu-Natal,2005-2006,61776.3453667925,62500
KwaZulu-Natal,2006-2007,50656.603200769845,45100
KwaZulu-Natal,2007-2008,43243.44175675475,44000
KwaZulu-Natal,2008-2009,66718.4529961359,75600
KwaZulu-Natal,2009-2010,74131.614440151,73500
KwaZulu-Natal,2010-2011,84015.8296988378,92000
KwaZulu-Natal,2011-2012,84015.8296988378,81600
KwaZulu-Natal,2012-2013,79073.7220694944,82000
KwaZulu-Natal,2013-2014,86486.8835135095,98000
KwaZulu-Natal,2014-2015,103784.26021621139,102900
KwaZulu-Natal,2015-2016,69189.5068108076,66000
KwaZulu-Natal,2016-2017,75367.14134748685,89605
KwaZulu-Natal,2017-2018,98842.15258686799,124000
KwaZulu-Natal,2018-2019,81544.7758841661,99000
Limpopo,1998-1999,9884.2152586868,10000
Limpopo,1999-2000,8895.79373281812,10800
Limpopo,2000-2001,16061.849795366048,20800
Limpopo,2001-2002,22239.4843320453,24300
Limpopo,2002-2003,12849.47983629284,13700
Limpopo,2003-2004,11663.374005250424,10400
Limpopo,2004-2005,24710.538146716997,27360
Limpopo,2005-2006,32123.699590732096,34450
Limpopo,2006-2007,30888.17268339625,25000
Limpopo,2007-2008,18532.90361003775,22500
Limpopo,2008-2009,39536.8610347472,44000
Limpopo,2009-2010,44478.9686640906,50400
Limpopo,2010-2011,58069.76464478495,58800
Limpopo,2011-2012,54363.183922777396,50600
Limpopo,2012-2013,49421.076293433995,53500
Limpopo,2013-2014,54363.183922777396,66000
Limpopo,2014-2015,59305.2915521208,72000
Limpopo,2015-2016,39536.8610347472,38400
Limpopo,2016-2017,21003.95742470945,29750
Limpopo,2017-2018,49421.076293433995,54000
Limpopo,2018-2019,40031.071797681536,46980
Mpumalanga,1998-1999,185329.03610037747,75000
Mpumalanga,1999-2000,135907.9598069435,71500
Mpumalanga,2000-2001,177915.8746563624,93600
Mpumalanga,2001-2002,172973.767027019,101500
Mpumalanga,2002-2003,148263.228880302,72200
Mpumalanga,2003-2004,181622.45537836992,110115
Mpumalanga,2004-2005,207568.52043242278,136650
Mpumalanga,2005-2006,345947.534054038,210000
Mpumalanga,2006-2007,222394.843320453,76500
Mpumalanga,2007-2008,202626.41280307938,128000
Mpumalanga,2008-2009,308881.7268339625,262500
Mpumalanga,2009-2010,358302.8031273965,239600
Mpumalanga,2010-2011,469500.224787623,294500
Mpumalanga,2011-2012,494210.76293434,263050
Mpumalanga,2012-2013,506566.03200769844,335000
Mpumalanga,2013-2014,501623.9243783551,335000
Mpumalanga,2014-2015,605408.1845945665,389900
Mpumalanga,2015-2016,593052.915521208,408000
Mpumalanga,2016-2017,595523.9693358797,554300
Mpumalanga,2017-2018,766026.6825482269,672700
Mpumalanga,2018-2019,766026.6825482269,511500
North-West,1998-1999,19768.4305173736,17000
North-West,1999-2000,12355.269073358499,12000
North-West,2000-2001,14826.3228880302,11700
North-West,2001-2002,11119.74216602265,9000
North-West,2002-2003,5065.660320076985,5000
North-West,2003-2004,27181.591961388698,26000
North-West,2004-2005,31777.75205667806,28500
North-West,2005-2006,24710.538146716997,27000
North-West,2006-2007,22239.4843320453,18000
North-West,2007-2008,14826.3228880302,15000
North-West,2008-2009,16061.849795366048,18525
North-West,2009-2010,24710.538146716997,27000
North-West,2010-2011,49421.076293433995,50000
North-West,2011-2012,51892.130108105695,31500
North-West,2012-2013,54363.183922777396,22750
North-West,2013-2014,39536.8610347472,32000
North-West,2014-2015,86486.8835135095,52500
North-West,2015-2016,38301.33412741135,14100
North-West,2016-2017,56834.2377374491,52900
North-West,2017-2018,88957.9373281812,61200
North-West,2018-2019,88957.9373281812,48600
Northern Cape,1998-1999,1235.52690733585,1300
Northern Cape,1999-2000,988.42152586868,1040
Northern Cape,2000-2001,617.763453667925,675
Northern Cape,2001-2002,0.0,0
Northern Cape,2002-2003,0.0,0
Northern Cape,2003-2004,395.368610347472,375
Northern Cape,2004-2005,247.10538146717,300
Northern Cape,2005-2006,1235.52690733585,1500
Northern Cape,2006-2007,1235.52690733585,1500
Northern Cape,2007-2008,1235.52690733585,1750
Northern Cape,2008-2009,1853.290361003775,2250
Northern Cape,2009-2010,1606.184979536605,1950
Northern Cape,2010-2011,1235.52690733585,1500
Northern Cape,2011-2012,1235.52690733585,1500
Northern Cape,2012-2013,4942.1076293434,7000
Northern Cape,2013-2014,9637.10987721963,14040
Northern Cape,2014-2015,9884.2152586868,14000
Northern Cape,2015-2016,9884.2152586868,13600
Northern Cape,2016-2017,7413.1614440151,10500
Northern Cape,2017-2018,7413.1614440151,10500
Northern Cape,2018-2019,3830.1334127411346,5425
Western Cape,1998-1999,0.0,0
Western Cape,1999-2000,0.0,0
Western Cape,2000-2001,0.0,0
Western Cape,2001-2002,0.0,0
Western Cape,2002-2003,197.684305173736,120
Western Cape,2003-2004,74.131614440151,90
Western Cape,2004-2005,345.947534054038,420
Western Cape,2005-2006,172.973767027019,70
Western Cape,2006-2007,0.0,0
Western Cape,2007-2008,0.0,0
Western Cape,2008-2009,0.0,0
Western Cape,2009-2010,0.0,0
Western Cape,2010-2011,0.0,0
Western Cape,2011-2012,0.0,0
Western Cape,2012-2013,0.0,0
Western Cape,2013-2014,0.0,0
Western Cape,2014-2015,1976.84305173736,1600
Western Cape,2015-2016,1976.84305173736,1200
Western Cape,2016-2017,1729.73767027019,1050
Western Cape,2017-2018,1976.84305173736,1200
Western Cape,2018-2019,247.10538146717,10
